Year,Region,Industry_Sector,CO2_Emissions_Metric_Tons,Methane_Emissions_Metric_Tons,Nitrous_Oxide_Emissions_Metric_Tons,Total_Energy_Consumption_MWh,Renewable_Energy_Consumption_MWh,Non_Renewable_Energy_Consumption_MWh,Total_Waste_Generated_Tons,Recycling_Rate_Percentage,CO2_Reduction_Target_Achieved_Percentage,Renewable_Energy_Goal_Achieved_Percentage,Waste_Reduction_Target_Achieved_Percentage
2001,Oceania,Agriculture,2614326,39106,5177,875035,253806,101102,23279,64,43,26,11
2014,Europe,Manufacturing,3500706,47055,22034,854186,174516,275790,17366,92,15,22,19
2012,Oceania,Transportation,1487093,77369,13545,740740,248533,654763,26596,53,7,38,24
2007,South America,Energy,2063850,47333,18030,797760,271956,696621,33088,46,6,13,21
2013,Africa,Transportation,2549048,61603,16374,778154,160278,341621,19740,48,43,31,16
2012,Europe,Transportation,1897670,62362,12888,618960,151483,366148,27995,65,12,17,27
2018,Asia,Energy,2426467,40458,14868,597983,142133,534381,26114,66,42,20,26
2020,North America,Agriculture,1924508,49212,12571,649869,245211,135697,26681,82,37,24,24
2016,Oceania,Construction,2305267,40495,13641,527516,97950,345687,32936,47,25,14,33
2002,Asia,Energy,1278042,63210,16044,314376,203308,464479,25080,64,16,29,28
2012,South America,Retail,2230587,63280,17356,711432,211442,382452,27213,71,5,39,14
2004,Europe,Retail,879346,2547,18229,660026,176170,257057,37914,94,27,10,31
2009,Africa,Transportation,2050221,38317,10625,594108,99934,580786,29248,52,43,12,31
2002,Asia,Construction,1085506,59680,13286,686899,227753,134909,23064,89,48,17,24
2018,Oceania,Energy,1421594,-4468,14898,665699,132815,303991,15136,55,27,29,27
2003,North America,Energy,2469475,86821,15937,668888,290641,378419,15326,57,47,23,14
2011,South America,Agriculture,1442334,39000,13979,923104,149466,562524,30416,53,17,26,31
2009,Europe,Transportation,2173225,26348,18878,481853,143830,534986,15954,68,44,14,23
2009,North America,Agriculture,2551719,79123,14578,738546,29850,523750,16883,52,30,14,23
2010,South America,Agriculture,3212076,30493,12227,954283,221905,425421,25542,71,20,31,11
2018,Europe,Construction,2221659,101346,18351,345514,288875,292633,19531,83,25,18,24
2008,Asia,Energy,2812042,69376,25337,952968,253801,539709,33778,75,30,16,21
2016,Oceania,Construction,665061,44524,9183,567995,104328,495871,17294,64,45,21,34
2020,Europe,Energy,1106696,45403,8418,311291,163520,973360,21715,56,33,19,27
2009,Africa,Transportation,3481718,3706,14054,619435,293782,594349,37470,45,28,29,14
2020,North America,Energy,2281720,62280,12487,937401,106118,480716,21429,72,14,23,25
2007,South America,Construction,911405,44830,17172,35234,170332,372487,23527,80,37,12,30
2006,Oceania,Energy,771338,80425,11646,441775,233082,407613,31881,41,16,17,12
2012,Africa,Manufacturing,2654877,36924,11889,919619,205227,700235,32228,65,12,26,11
2020,Asia,Agriculture,2190488,64362,17653,723348,218187,573193,33609,92,45,16,23
2003,North America,Energy,1561396,50440,18303,600126,77656,405100,30065,63,40,26,26
2006,Africa,Construction,3175841,37420,17761,499502,358156,491058,31756,49,47,29,15
2000,North America,Retail,2241435,37222,16607,491933,213849,632994,23969,48,45,28,14
2001,South America,Transportation,548328,9769,14846,468666,91766,487114,25948,83,13,34,27
2012,Oceania,Manufacturing,2941846,44965,17752,748894,169746,644554,10726,71,23,26,20
2011,Asia,Transportation,1062788,51838,9046,969701,196900,578504,18094,83,36,21,30
2003,Oceania,Manufacturing,1351749,86498,20413,1045297,162581,263562,29894,57,22,17,14
2009,Africa,Retail,2075651,93510,6382,666290,98436,59660,19268,76,5,10,30
2015,South America,Energy,1801740,50220,15565,605335,109392,732061,33009,87,32,38,34
2017,Europe,Retail,2693762,35692,6770,929786,237147,421957,16477,76,30,21,28
2007,North America,Manufacturing,602591,43053,12874,759295,107034,498600,30521,74,40,39,29
2011,Africa,Transportation,2595263,50627,18332,678682,82466,1001799,21567,81,28,34,13
2014,South America,Retail,1993683,80624,18418,400754,306656,356685,41297,82,19,28,22
2007,South America,Agriculture,2186419,7717,22350,667481,76815,700943,27767,44,46,16,15
2020,Africa,Retail,1699516,80848,12314,1312783,234751,694412,36313,76,8,13,34
2004,Africa,Manufacturing,2115550,76409,15678,768517,182172,237686,34943,55,49,10,34
2012,Asia,Manufacturing,2903218,72913,13728,519073,132169,405369,35290,66,39,39,12
2015,Oceania,Retail,2722461,66764,10526,761783,194345,547101,9409,92,31,29,12
2000,Asia,Energy,3697251,63645,16504,742371,234537,648197,48166,40,40,14,32
2020,North America,Transportation,1655214,47388,19396,359266,241511,572669,29736,65,42,20,19
2004,Oceania,Agriculture,2561233,58068,16245,417330,189870,570803,16260,59,19,36,27
2020,North America,Manufacturing,3153759,39601,9404,616809,196277,458411,24845,68,22,38,29
2019,South America,Agriculture,558235,49364,9117,866768,66173,220031,38248,49,46,34,15
2002,North America,Construction,857103,40431,19491,1180116,210416,202544,3287,43,27,25,21
2018,Oceania,Manufacturing,1666326,72930,12414,547024,92241,410516,4838,62,15,35,21
2012,Asia,Construction,3035139,79585,15561,740432,216839,618704,28491,90,5,21,26
2013,South America,Construction,979499,32558,15115,412146,49258,808108,17363,86,48,15,31
2011,Asia,Energy,2611652,51267,16983,442050,260879,501698,33654,40,44,23,11
2001,Europe,Construction,1939242,52396,13756,437124,122936,495615,25502,64,26,26,32
2017,Europe,Energy,3192886,87035,21623,948260,134539,373584,31356,83,47,30,11
2011,South America,Transportation,2591987,67469,19622,461084,145379,297356,31569,81,12,35,10
2009,Asia,Transportation,1686689,37168,14647,1208285,255731,664416,20034,45,18,37,34
2003,Oceania,Construction,1404905,58355,21184,790798,306600,538717,29134,64,33,29,28
2014,North America,Agriculture,903051,21930,10228,1004063,355311,409509,16648,78,34,29,22
2002,Asia,Transportation,1194611,63787,11277,797252,264040,472600,20087,45,34,35,19
2010,Europe,Agriculture,2873516,66940,13965,570956,208772,404431,30893,46,12,31,17
2020,North America,Agriculture,3667545,60263,16319,337909,282228,554551,32573,61,44,27,17
2008,Oceania,Energy,961860,38445,14298,1211183,102337,598973,18516,71,21,12,31
2013,South America,Manufacturing,2523618,101267,12284,721889,138714,341971,22579,51,48,17,23
2012,Europe,Agriculture,1624751,51803,22186,1337024,133985,532232,8599,90,38,11,24
2007,Europe,Transportation,2121641,72949,5082,561092,313887,521843,33802,47,22,34,33
2002,Africa,Retail,2547938,37855,13476,815104,273832,286824,26729,50,23,30,22
2004,South America,Manufacturing,1934855,39336,19731,696077,244897,622368,17906,52,31,16,10
2012,Europe,Agriculture,2495199,77971,8216,1041566,129811,788727,24382,51,24,34,16
2001,North America,Manufacturing,4608137,21397,9861,371941,193831,620298,26390,45,47,39,19
2003,South America,Energy,3094501,13741,11555,442990,235900,519931,9573,66,7,25,15
2004,Africa,Manufacturing,1236888,14856,16377,488028,120877,467846,16642,47,29,17,31
2005,Europe,Retail,1630929,45252,24226,984779,337969,425257,28663,83,29,27,25
2003,Asia,Manufacturing,1305921,46649,13291,246862,291519,442506,37805,51,38,13,24
2001,Oceania,Energy,1706285,32337,11490,703712,102749,719980,34250,94,41,22,11
2006,Asia,Construction,3017521,67509,8397,737349,212781,352824,15219,74,39,32,20
2005,South America,Retail,2216363,54715,15982,934897,129078,401225,28743,62,45,30,19
2008,Africa,Construction,2580871,72103,6805,422734,224211,499930,20618,43,18,25,29
2011,Oceania,Construction,1588067,43109,25315,855553,270188,597467,30948,64,42,21,32
2021,Africa,Agriculture,2651779,43681,14644,659038,139685,325978,16490,51,39,34,33
2014,Africa,Transportation,586757,35619,18163,542347,339213,688533,25792,69,48,11,34
2013,Europe,Construction,1122735,48976,14675,644845,242931,565035,27051,51,38,11,32
2012,South America,Construction,2590388,76447,22255,1123048,206613,485932,21314,75,22,13,33
2006,Africa,Transportation,1480695,59330,14803,691843,213632,379047,45413,76,23,26,18
2019,South America,Energy,227939,91571,8123,924967,109375,558087,22041,78,17,20,14
2000,Africa,Retail,2029150,-12005,6727,1078260,152476,892010,24300,51,17,36,14
2021,Asia,Agriculture,1720652,42128,10420,721652,189887,564335,21198,79,16,28,15
2010,Asia,Construction,2982479,18727,12909,1242391,131518,872406,39378,69,28,18,12
2009,Europe,Transportation,1833081,21905,18214,399535,182507,773890,43509,45,30,36,31
2022,Asia,Construction,2010751,53711,10566,1052764,109907,391503,16477,45,16,39,25
2005,North America,Manufacturing,1664646,68872,10742,863598,275017,891472,23977,87,34,33,18
2017,Oceania,Manufacturing,3598310,52551,7199,953723,195689,548290,7394,81,29,29,30
2019,Asia,Construction,2195864,39335,20023,657932,238978,518982,10063,74,24,37,29
2019,South America,Retail,2453726,60822,19018,356607,155410,-36291,34959,81,6,10,27
2008,North America,Manufacturing,642598,23785,13116,1138990,233623,521076,-2913,48,23,17,25
2002,Asia,Construction,529108,57994,8681,578257,348884,566588,35179,92,27,39,12
2014,North America,Transportation,1935142,26284,17396,970822,149352,676492,26793,51,9,15,21
2002,South America,Transportation,1975072,90179,14995,251416,294611,762855,39797,89,35,21,16
2006,South America,Construction,1053936,60609,18038,901735,149818,579172,3703,81,31,18,18
2018,Europe,Transportation,2175362,17371,15436,1070984,167490,415994,19987,70,44,29,28
2010,Asia,Transportation,3554400,33114,12160,1007410,225098,718922,17544,84,17,18,31
2007,North America,Construction,2515810,63147,10874,683207,269239,219574,14371,74,21,36,12
2000,Asia,Transportation,1166996,17448,9146,140041,244507,364236,14333,57,12,10,20
2011,South America,Manufacturing,2011489,34217,20164,538578,327495,690716,16998,74,39,29,12
2021,North America,Retail,2269997,23202,14125,633999,320725,253789,24423,69,12,30,26
2003,South America,Manufacturing,2990759,55530,10063,661626,85236,354172,3503,56,19,32,30
2018,Oceania,Construction,2102515,62863,25876,631703,189608,566163,27958,52,7,10,18
2013,Europe,Energy,2522429,56645,16553,370675,88825,476705,40723,78,33,18,15
2013,Africa,Transportation,1747869,76459,20293,614927,211112,423228,33754,93,32,11,19
2003,Oceania,Transportation,1696784,70530,19135,871304,300337,834932,28236,61,12,15,26
2014,South America,Manufacturing,2069076,7020,9415,569486,316180,489738,23259,48,28,34,23
2013,Asia,Construction,1838060,87267,10185,457240,100216,315254,34986,66,36,35,10
2008,Oceania,Agriculture,1577558,56088,12863,436343,356315,302670,33309,44,15,34,22
2008,Africa,Transportation,1958277,91082,14687,829343,126398,486396,32879,60,13,17,14
2003,South America,Transportation,460748,60393,13814,802652,77232,462065,30144,55,27,21,22
2017,South America,Transportation,780992,65147,10386,572781,230182,311357,10146,55,42,33,21
2016,North America,Manufacturing,1734571,72935,13567,489028,273691,548658,25719,46,28,19,17
2021,North America,Agriculture,1126649,77800,12132,1080362,176247,604791,42045,54,34,31,31
2010,Asia,Transportation,360750,19466,16021,930317,222919,431419,23413,81,30,37,31
2013,North America,Manufacturing,1357753,25165,13236,628768,242966,439522,38867,82,27,15,17
2004,North America,Construction,2505319,67847,16630,296863,151629,537177,18645,62,22,37,14
2008,Asia,Manufacturing,856858,51658,30371,1013224,198417,409709,18331,78,30,24,14
2008,Africa,Construction,1709231,56019,18821,641781,150357,349077,40470,67,46,10,23
2015,Europe,Energy,1649715,39994,20072,732473,106556,482513,17431,48,21,18,15
2015,Europe,Agriculture,2940326,49697,1810,1178742,289301,468830,30527,55,34,34,32
2000,Africa,Energy,2878330,68492,13490,769506,189693,594955,32623,63,14,38,10
2007,Africa,Energy,2237215,27723,17433,447324,231453,442543,26276,69,17,39,11
2022,Africa,Retail,-218700,32678,11337,901636,234112,432070,22521,73,20,11,16
2009,Oceania,Energy,81048,48735,7917,949352,182702,542581,22031,78,39,37,20
2000,Europe,Energy,358565,44943,14262,1082930,258817,482467,17752,76,5,12,26
2020,South America,Retail,2892828,37340,20454,572715,159724,414399,9768,60,14,33,30
2002,Asia,Construction,1553003,54473,17892,670035,250119,645290,18230,91,44,18,31
2000,North America,Retail,1703610,51397,14456,499939,79633,782449,26111,86,16,32,12
2019,South America,Retail,2557333,57269,11309,948167,69677,581731,17031,87,8,26,19
2000,Oceania,Construction,1959415,25363,14616,442289,322871,440955,55,73,19,17,12
2015,North America,Manufacturing,1649731,34711,14930,551678,238506,725436,41434,51,12,12,27
2016,Europe,Construction,2102920,36252,13150,900142,188408,720662,21181,86,21,20,16
2009,Africa,Agriculture,539237,71740,12180,692921,185307,437145,29443,79,47,17,10
2014,Africa,Transportation,952836,57283,6564,697654,225642,652631,21998,76,21,15,24
2018,Oceania,Retail,2517550,65244,9345,432560,264324,419792,37179,71,12,23,22
2002,Asia,Transportation,1947200,57298,15521,1106615,117683,416125,32495,81,42,33,14
2017,Africa,Retail,515451,49998,12761,367512,178246,510293,18355,76,47,22,24
2000,Africa,Agriculture,2485679,32007,8212,742016,265551,416490,22789,66,28,11,19
2007,Europe,Construction,1930911,54719,13983,1001227,258158,904800,16288,66,23,30,14
2022,Oceania,Construction,2321231,53329,8519,812643,161411,546943,23100,81,14,23,12
2014,Oceania,Transportation,2281446,31283,11748,627960,180528,394208,40856,45,18,10,21
2012,Africa,Retail,1569105,60029,20822,799827,198516,597856,12581,92,9,11,23
2009,North America,Transportation,1675091,70459,15640,547981,272843,392514,23748,81,18,34,22
2009,South America,Energy,1464283,12924,11296,901948,227111,390905,33552,40,40,14,28
2008,Oceania,Construction,1782864,33976,1671,1008688,274504,388468,17195,74,45,25,15
2021,Asia,Energy,2643956,48190,23985,742955,222016,799079,24307,74,32,35,10
2014,Oceania,Energy,1662788,37909,18147,694243,258150,339995,28068,55,14,34,33
2004,Africa,Retail,1829829,25683,10575,820953,114967,823652,39677,60,49,21,15
2002,Africa,Manufacturing,1409290,14075,17296,1143659,176831,250348,22099,94,48,19,13
2009,North America,Construction,2526065,77503,13008,807981,177525,503430,32811,52,47,28,26
2019,North America,Energy,2553677,29897,3296,820302,168125,324326,32422,67,42,14,33
2016,Oceania,Construction,819125,53034,3641,658343,235037,591201,21087,92,7,37,13
2022,Africa,Transportation,1894950,62097,16228,887692,179360,716413,33315,94,34,26,21
2001,North America,Transportation,1598392,31505,22285,829272,95567,606445,39774,75,10,22,21
2015,Europe,Construction,1289178,87253,21320,676587,174563,723115,25718,70,36,19,10
2020,Oceania,Transportation,1341937,59258,6823,529565,199670,637094,16964,49,49,24,10
2015,North America,Construction,2198976,50482,15229,641181,260471,712197,36328,77,42,37,16
2019,South America,Retail,2994588,59945,11245,852149,183089,618524,2665,55,31,34,19
2014,North America,Agriculture,3562892,9600,13074,770244,237683,703898,17096,67,21,28,22
2002,Oceania,Construction,1803673,44580,14767,695312,305149,605252,13865,69,28,29,21
2018,Asia,Construction,2303162,37591,18710,421548,238409,204449,21676,92,10,23,32
2018,Oceania,Manufacturing,1091274,53436,7402,1056984,204580,557446,31713,71,30,31,27
2001,Europe,Energy,1718256,20216,17353,496896,120046,488355,23570,80,49,39,29
2010,North America,Manufacturing,1089395,84819,14057,298463,207188,306832,17346,46,35,32,27
2007,Oceania,Construction,3356171,59324,20147,185938,215855,423776,32784,43,44,15,12
2003,South America,Retail,911857,51977,8589,423823,209802,460658,28755,78,30,36,12
2011,Africa,Agriculture,3020603,21178,19937,1023742,253531,371373,21630,49,34,14,16
2022,South America,Construction,2619902,46110,19285,676707,264189,698048,24201,75,41,36,14
2012,Europe,Retail,1971798,92063,17565,607172,240398,294573,17496,72,22,25,16
2009,North America,Transportation,2428549,45080,7899,925621,180231,723148,25500,56,36,25,25
2021,North America,Energy,2617005,97021,14643,638641,307262,567730,7171,77,14,33,26
2001,Europe,Energy,835407,47155,19689,722339,145529,476899,32853,87,16,39,28
2008,North America,Energy,1503523,30169,17446,920471,231822,449005,6656,44,7,19,21
2021,Oceania,Retail,1708090,63025,9612,706076,185106,526552,33498,45,8,26,23
2011,Europe,Manufacturing,1588136,35578,21687,167703,281905,276627,25813,91,29,30,24
2022,Africa,Transportation,1298974,33217,18099,541346,290551,606325,31571,42,38,29,33
2013,South America,Agriculture,1659911,85913,12899,1088036,79254,522789,17167,64,47,38,10
2002,South America,Retail,2542083,43495,10070,845084,159823,259858,27391,77,39,39,28
2004,Europe,Agriculture,3427662,44249,10425,1078012,203624,459486,31709,89,30,28,28
2020,Asia,Manufacturing,2268035,75693,7911,971298,214829,543997,12492,85,44,19,15
2011,Oceania,Energy,1477264,71258,12273,525767,270406,519369,42120,58,48,37,30
2022,Oceania,Construction,980576,5687,22083,891745,185247,447354,55944,86,40,18,29
2007,South America,Manufacturing,1489798,13422,16950,169627,313057,274196,39822,40,15,15,32
2015,Africa,Construction,1440114,57164,19760,167853,94094,892147,24722,67,5,28,15
2018,Europe,Agriculture,2538260,36810,27460,965669,348696,873611,16816,63,49,30,21
2005,Oceania,Transportation,1245122,33771,12347,790656,263286,619169,28391,49,45,10,21
2009,Asia,Agriculture,2436616,-2910,25610,748127,222918,266639,29943,58,38,25,33
2012,Asia,Transportation,3272524,41334,12100,302747,251515,451044,24676,93,6,22,17
2009,Europe,Agriculture,1332913,35941,17381,1182737,110190,606579,27281,94,31,22,10
2008,Europe,Retail,1452028,35219,15484,588352,128482,571911,31490,73,11,11,11
2001,Europe,Retail,1566159,52753,24517,1178408,166873,593094,22877,65,24,24,22
2019,Europe,Retail,1488976,67931,15905,571802,179909,566157,24589,60,20,32,24
2007,Oceania,Manufacturing,2592194,68325,17887,776380,178070,372889,35071,77,42,36,23
2011,Asia,Manufacturing,2082322,25840,7833,1155463,282293,489624,31222,53,41,31,11
2005,Asia,Agriculture,2872714,34816,6398,608881,226615,501534,43592,61,28,21,21
2005,North America,Transportation,2240902,38554,14178,754648,137750,707070,32659,82,8,20,14
2010,Africa,Retail,2696165,53170,9843,585707,247888,440810,18625,68,15,16,14
2016,North America,Transportation,1838956,60093,12349,594237,166944,649036,16212,83,19,39,31
2020,North America,Transportation,2968982,33366,12290,835342,286079,273250,5940,60,47,12,14
2014,Oceania,Manufacturing,2258301,58819,24354,418514,276948,213385,34895,69,30,36,13
2014,South America,Retail,1234752,67022,14752,950129,247302,543649,16609,81,8,20,22
2002,Oceania,Energy,2561470,52952,11934,342769,246590,666195,30926,75,32,33,30
2008,Oceania,Energy,2135628,33021,7857,362821,249114,1062418,37030,85,5,31,20
2020,Africa,Retail,1318610,65513,13502,925117,216735,605737,25592,53,43,35,15
2001,South America,Energy,801381,44650,26925,745167,370701,609379,23603,42,37,35,34
2011,Oceania,Energy,2409063,77271,15438,1221106,174895,699759,25003,67,48,18,23
2020,Asia,Agriculture,2836150,31418,15690,648038,189835,360186,17750,85,24,28,32
2010,Oceania,Manufacturing,2349495,76308,19075,895546,153522,398640,15041,85,24,21,18
2008,Africa,Construction,733438,80411,24837,870748,247384,385039,24337,42,35,33,11
2003,South America,Energy,1628525,27092,8307,483164,43689,476832,25599,87,38,21,15
2005,Europe,Retail,2240260,35987,11481,938869,370792,796042,27046,88,13,26,30
2010,Asia,Energy,2914816,20879,17663,725040,86734,660398,24265,41,10,36,23
2022,North America,Transportation,2097945,45447,11048,798542,274274,631037,18437,50,33,19,30
2010,Africa,Energy,724455,15889,15120,939170,88269,818749,21403,77,9,10,21
2006,North America,Manufacturing,2571233,56677,17611,661817,199518,764281,23858,92,14,34,21
2013,Asia,Transportation,1937457,42293,12234,861189,263885,612926,19220,47,39,32,17
2013,Europe,Construction,2237909,45053,11571,906788,155865,568735,26118,88,26,29,21
2001,North America,Retail,1603214,56020,18410,844274,307856,258950,35255,52,5,22,33
2009,South America,Energy,2300330,69065,22065,578485,146728,405743,24999,71,18,16,31
2020,Oceania,Agriculture,2571893,41224,6209,518864,163020,537379,20996,82,40,24,17
2015,South America,Construction,3159016,65948,15371,615286,156790,642231,49054,65,42,25,17
2017,South America,Retail,2081642,73738,19420,202987,157706,268548,23556,57,9,12,10
2007,Asia,Energy,1573765,77003,2749,670026,193441,294699,21615,79,28,21,15
2012,South America,Transportation,1613746,98450,8415,495074,143528,294935,20389,58,40,29,14
2022,Oceania,Construction,1952116,63727,13120,547821,322039,619076,18676,69,16,18,18
2003,South America,Transportation,3782931,17909,13708,957544,50974,468825,24309,44,41,12,24
2007,Europe,Transportation,3084587,24008,9959,593188,132864,167550,28089,72,29,19,10
2002,South America,Transportation,2716538,57332,18210,1112600,268257,848349,36794,55,18,36,29
2014,Oceania,Retail,2797824,64908,6820,580852,263784,596022,22264,60,33,39,12
2016,Oceania,Retail,1529819,51320,14102,776379,-20130,382711,17310,70,43,29,19
2004,Asia,Retail,1682042,39185,10203,904262,132824,557763,23918,41,41,32,27
2016,Oceania,Transportation,2835954,52968,19098,371126,233879,629163,19715,75,23,36,17
2004,Europe,Manufacturing,1986601,84547,15059,928235,235225,438151,27468,64,44,18,15
2011,North America,Agriculture,1132200,38961,14957,784365,110349,525642,15163,86,8,39,32
2015,Oceania,Retail,1730864,65526,7057,516455,60879,876678,9025,52,37,35,26
2001,Oceania,Manufacturing,1687720,50996,14904,294678,320300,357322,26900,71,16,27,32
2018,Africa,Retail,1773779,67466,13023,184952,296304,337100,27356,56,19,37,33
2001,Africa,Transportation,2101255,67012,14652,721315,266595,721590,27809,42,9,16,22
2010,Africa,Manufacturing,1787587,37401,15502,538517,288696,548504,19901,62,39,34,18
2000,Asia,Agriculture,1381327,50330,24497,497998,81527,499013,21698,73,26,39,17
2010,Africa,Construction,2191993,38724,11158,582037,174627,617736,18202,51,39,29,13
2007,Europe,Manufacturing,2715435,48520,20090,773111,110343,194999,15075,92,13,26,34
2011,North America,Retail,1942404,38336,16682,461788,120507,774924,17589,86,12,17,26
2006,Asia,Manufacturing,1588481,55681,14511,850754,169132,557824,25295,83,30,31,10
2020,South America,Construction,1772929,60971,17300,966962,275793,885450,35123,84,31,33,22
2013,Asia,Manufacturing,985699,67406,11379,462533,161696,587434,26948,94,15,27,22
2009,South America,Construction,2937909,21366,14497,793758,201265,818257,28897,69,15,18,30
2011,Asia,Retail,2436163,45393,16268,390582,261555,358902,31132,59,12,24,25
2018,Oceania,Manufacturing,3841831,50758,10638,725310,241281,399117,9703,50,10,26,27
2014,Asia,Construction,4018520,75127,17581,1033000,306066,374953,29233,88,31,26,18
